BasinID,Intercept,Beta_P,Beta_ET,Beta_Q,Beta_GW,Beta_SW,Mean_Delta_R2
40,0.00911268445848569,9.15241601224664,-0.0485231609061883,-354.710061644369,-3447.59808634362,9.70491862077019,0.012440797566607
41,-0.0555886406113823,7.38252378503687,-0.0371405572957359,-182.321786956572,-2356111759.33479,1434.15094112705,0.0074216913412212
42,-0.0144482409034521,4.2304335156395,0.0278816981005932,-11.930818380532,364956373.35764,-6231383.73116519,0.00756138201752119
43,0.130055329690465,6.96374351215811,-0.417636940499256,-6.3266176007518,-17243046.1251853,-0.580210232486452,0.00802770818116562
44,0.0292378087284527,3.55310818007738,-0.470341869303726,-3.52464214883851,-2303501253.42388,-5488.72150910121,0.0156083269792114
45,-0.00666741435243335,11.391038745084,-0.120348772256239,-538.184272314313,-2207227404.34631,-5916.03558077327,0.0149090895726504
46,0.0119376625077354,6.66405695301845,-0.372278968205029,-6.2825312633131,-9841026.8950697,-6.59921132432961,0.0104816878094472
47,-0.0176397846861993,5.74690337001261,-0.238646531274871,12.5304208080587,-934.706409316923,-112.258751423898,0.0149419812266754
48,-0.0161967821673037,6.60633256680366,-0.268007413202055,-5.36949138654562,-3648069986.45724,-2092.61123155636,0.013285548237113
49,-0.10495811437059,5.20055337312151,-0.197743061271253,-1.86902982387995,9881224097.13776,38855.9736983854,0.00566947732106533
50,-0.0485289644283799,0.443798713033866,0.154405467884105,10.0245975110224,-57959928991.1508,-4208.00128723093,0.01016586478865
51,0.0848710261934534,6.18310390673188,0.0464745862984376,-5.2811613909829,287882571.576072,30740.3242533388,0.0091210036771984
52,0.0011264276505624,6.22949871031809,-0.115723269192604,1227.74816689964,1191257388.75669,-650863224.859158,0.0074041064221706
53,-0.0876646427251108,5.32359189094218,-0.0317667804498977,-5.16247546088701,-11451859941.8201,11630.8099511826,0.01290577443859
54,-0.0672976820912751,4.5546853806312,-0.185962570866421,-4.31898130842952,-19085856.9197181,2990.92972511497,0.0177729103077801
55,0.086939587858653,4.86963252256551,-0.397565739425819,-6.64833487305516,77754841.6372485,10.8067550492679,0.0292793033246868
56,0.0121637433453926,3.66259419137692,-0.127389238598724,-45.4053189611706,1489332992.77911,-203013531.749496,0.0068993968574626
57,0.0184710610451413,1.61847444782524,-0.0715832318924371,5.34019348361553,314452183.927419,29.0398747613128,0.00719930171593583
58,0.111417192493819,6.49648491010264,-0.218298132244394,-4.16786461357669,-82.1714674495927,1.97557532014387,0.00936168954130153
59,0.118477688414837,3.57689754816754,-0.140412473133561,-0.756690335649873,25430092.3300678,-8.99672244367675,0.00869581864801052
60,0.0176046713713862,3.3142893828572,-0.128060204597252,7.11486063396393,-6509.40705881302,-22.1022547605167,0.0129549973602591
